epoch,train_loss,train_auc,test_loss,test_auc,lr,train_samples,test_samples,train_scene_0_auc,test_scene_0_auc,train_scene_1_auc,test_scene_1_auc,train_scene_2_auc,test_scene_2_auc,train_scene_3_auc,test_scene_3_auc,train_scene_4_auc,test_scene_4_auc
1,1.023019789011646,0.7598622704257181,0.4685341833359692,0.8437114522599033,4.995066821070679e-05,9653449,1537536,0.6124964351899138,0.8005394250310924,0.6347162596009971,0.7957289319404524,0.8065112791042434,0.8376586322251877,0.5034567262314885,0.5215984493898125,0.5417075752960925,0.6018478031017365
2,0.46474308450207347,0.8687418700883737,0.4425745222514686,0.8648666923575501,4.980286753286195e-05,9653449,1537536,0.7164639576179532,0.8194215711466932,0.8314793617489772,0.8600885202888244,0.8887632402735212,0.856334764665815,0.515113329278168,0.5524158349189922,0.6126644892258326,0.6701427203209254
3,0.41529711657918084,0.8868731383626901,0.4350765715161484,0.8705427027986113,4.955718126821722e-05,9653449,1537536,0.7590777392270116,0.8357832265550477,0.8756705632421482,0.8787159325303745,0.8997359984704661,0.8606438685321718,0.5446213993762995,0.5619279056870372,0.680570990776997,0.6859849538639399
4,0.395600878601744,0.8945674345440667,0.43399821124862076,0.8712656665200562,4.9214579028215776e-05,9653449,1537536,0.7845303537000087,0.846948778356809,0.894229867923269,0.8856431271209163,0.9040170017027198,0.861954472440748,0.5646034673444075,0.5698588793694529,0.7168150618721709,0.69345407147125
5,0.3827536512010547,0.8998556959274726,0.42912952263516735,0.8743585366443021,4.877641290737884e-05,9653449,1537536,0.8033906934624089,0.8557834689837351,0.9050671676637998,0.8907309081030517,0.9065713000326298,0.8638505915211603,0.5888148933957051,0.5717113491200739,0.7379227925011036,0.6996189518576403
6,0.3746049890226299,0.9033505138465612,0.42637769484108345,0.8747934153707928,4.8244412147206284e-05,9653449,1537536,0.814242891727464,0.8550169490990118,0.912178438168455,0.89263155100086,0.9085442123589963,0.8635548209667967,0.6012842183140448,0.570804502719282,0.7527635838645557,0.6987795910366317
7,0.3681809443932239,0.9061162790261166,0.424843957185112,0.8747407336054611,4.762067631165049e-05,9653449,1537536,0.8237848729085568,0.8537539877545147,0.91747406582993,0.8909059434812161,0.9102768754341091,0.864891711139031,0.6094545314587816,0.5721979772665142,0.7661015333221735,0.7005698634020041
8,0.363060284629638,0.9081610986592451,0.42163521490723965,0.8759853830899604,4.6907667001096584e-05,9653449,1537536,0.831312148694529,0.8551132808722333,0.921210534447318,0.8943845969971997,0.9115132825535278,0.8656982927070096,0.6161337627424422,0.572276986834814,0.7752840995612124,0.7024785553969828
9,0.3582708795131859,0.910086479705898,0.4203620002089269,0.8772347397100049,4.610819813755037e-05,9653449,1537536,0.8397472213987573,0.8555767283432737,0.9244621589499763,0.8951585863640614,0.9126541034622219,0.8682794899657708,0.6207707531027872,0.5718710062560642,0.785667010931347,0.707989649875512
10,0.3545508251912574,0.9117335059355925,0.4223438747138141,0.8758748602723085,4.5225424859373677e-05,9653449,1537536,0.8451098276157382,0.8589552016642598,0.9272190565518663,0.8946102881307806,0.9137116744340062,0.8650277827932726,0.6253741520504389,0.5754453128366431,0.7940176711606508,0.6999175181468099
11,0.350791118914171,0.913118917478472,0.4226892788809134,0.8759045904514015,4.426283106939472e-05,9653449,1537536,0.8512857858102085,0.8399587828828269,0.9295385609522376,0.8954986518125332,0.9146570261900373,0.8653163524526559,0.6279747479954507,0.5711578486410516,0.8008942791695377,0.6956364437147831
12,0.3472257060355096,0.9145946202375804,0.4206288468394463,0.8766093192594437,4.322421568553528e-05,9653449,1537536,0.8554594839873475,0.8563928415633779,0.9317321406128022,0.8975494929843278,0.9155848498938103,0.8671379873983287,0.6324046439718565,0.5737337078729958,0.8087319589613019,0.7035678268195468
13,0.34493682695856626,0.9157832476482474,0.4225711849818667,0.8764525408249328,4.211367764821721e-05,9653449,1537536,0.8599432182942918,0.8533546895753296,0.9335752597451608,0.8952509081681543,0.9164285236682272,0.8657635242198853,0.6346707362122115,0.5736879208317757,0.8149888101164224,0.701185485478238
14,0.34250818373492736,0.9169676144197267,0.4203326706075732,0.8767480571447798,4.0935599743717234e-05,9653449,1537536,0.8648068732153483,0.8416464842591111,0.9353514376460947,0.8950805317362538,0.9172138172367306,0.8674062952383111,0.6377721424963962,0.5735308428731908,0.821223645330426,0.7045034925785237
15,0.340164947315004,0.9180450810089771,0.42374508678517336,0.8758023471564744,3.969463130731183e-05,9653449,1537536,0.86929342141363,0.833520681872063,0.9370134838008721,0.894242941650754,0.9179793082964931,0.8656861720503428,0.6402078354455571,0.5747193199792984,0.8263726653133638,0.7016588363716013
16,0.3377561402275333,0.9190109647333784,0.4229939353972634,0.8759641902866133,3.839566987447491e-05,9653449,1537536,0.8715571496639756,0.8384803151561239,0.9384893060164118,0.8981929142971802,0.9186948524471187,0.8648831434778614,0.6419564823522232,0.5724726852909745,0.830821462767023,0.7046782480106231
17,0.33603743823399695,0.9199130545559208,0.420815666199997,0.8763423890511832,3.7043841852542874e-05,9653449,1537536,0.8756890487962588,0.8402319940186497,0.9397728650136683,0.8947948385136324,0.9193553690178633,0.8665546455364774,0.643886894577493,0.5727625263398357,0.8352336109899647,0.7042327833955939
